IssueID,EventCount,EventSequence
188286,3,"[""labeled"", ""assigned"", ""closed""]"
"""188286""",3,"[""closed"", ""labeled"", ""assigned""]"
188287,3,"[""labeled"", ""closed"", ""assigned""]"
"""188287""",3,"[""assigned"", ""labeled"", ""closed""]"
188291,3,"[""milestoned"", ""assigned"", ""auto_squash_enabled""]"
"""188291""",3,"[""auto_squash_enabled"", ""assigned"", ""milestoned""]"
188293,3,"[""assigned"", ""closed"", ""labeled""]"
"""188293""",3,"[""closed"", ""assigned"", ""labeled""]"
188296,3,"[""assigned"", ""labeled"", ""milestoned""]"
"""188296""",3,"[""milestoned"", ""labeled"", ""assigned""]"
188306,3,"[""subscribed"", ""mentioned"", ""closed""]"
"""188306""",3,"[""closed"", ""subscribed"", ""mentioned""]"
188308,3,"[""assigned"", ""mentioned"", ""subscribed""]"
"""188308""",3,"[""mentioned"", ""subscribed"", ""assigned""]"
188309,3,"[""closed"", ""labeled"", ""assigned""]"
"""188309""",3,"[""assigned"", ""labeled"", ""closed""]"
188312,3,"[""milestoned"", ""assigned"", ""labeled""]"
"""188312""",3,"[""milestoned"", ""assigned"", ""labeled""]"
136905,2,"[""assigned"", ""unassigned""]"
"""136905""",2,"[""assigned"", ""unassigned""]"
152112,2,"[""assigned"", ""milestoned""]"
"""152112""",2,"[""milestoned"", ""assigned""]"
152112,2,"[""subscribed"", ""mentioned""]"
"""152112""",2,"[""subscribed"", ""mentioned""]"
152112,2,"[""closed"", ""merged""]"
"""152112""",2,"[""merged"", ""closed""]"
152231,2,"[""merged"", ""closed""]"
"""152231""",2,"[""closed"", ""merged""]"
136905,2,"[""milestoned"", ""demilestoned""]"
"""136905""",2,"[""demilestoned"", ""milestoned""]"
152381,2,"[""unlabeled"", ""labeled""]"
"""152381""",2,"[""labeled"", ""unlabeled""]"
152381,2,"[""mentioned"", ""subscribed""]"
"""152381""",2,"[""subscribed"", ""mentioned""]"
155883,2,"[""subscribed"", ""mentioned""]"
"""155883""",2,"[""subscribed"", ""mentioned""]"
169844,2,"[""subscribed"", ""mentioned""]"
"""169844""",2,"[""subscribed"", ""mentioned""]"
171641,2,"[""assigned"", ""labeled""]"
"""171641""",2,"[""assigned"", ""labeled""]"
155883,2,"[""unlabeled"", ""labeled""]"
"""155883""",2,"[""labeled"", ""unlabeled""]"
181447,2,"[""auto_squash_enabled"", ""assigned""]"
"""181447""",2,"[""auto_squash_enabled"", ""assigned""]"
181447,2,"[""merged"", ""referenced""]"
"""181447""",2,"[""referenced"", ""merged""]"
184000,2,"[""auto_squash_enabled"", ""assigned""]"
"""184000""",2,"[""assigned"", ""auto_squash_enabled""]"
185681,2,"[""mentioned"", ""subscribed""]"
"""185681""",2,"[""subscribed"", ""mentioned""]"
185681,2,"[""labeled"", ""unlabeled""]"
